Specialization,Doctor,Timeslot,Availability
Cardiologist,Dr.Sharma,10:00-11:00,Yes
Cardiologist,Dr.Reddy,11:00-12:00,Yes
Cardiologist,Dr.Mehta,12:00-01:00,No
Cardiologist,Dr.Patel,02:00-03:00,No
Cardiologist,Dr.Bansal,03:00-04:00,Yes
Dentist,Dr.Gupta,10:00-11:00,Yes
Dentist,Dr.Verma,11:00-12:00,No
Dentist,Dr.Singh,12:00-01:00,Yes
Dentist,Dr.Jain,02:00-03:00,Yes
Dentist,Dr.Ram,10:00-11:04,Yes
Pediatrician,Dr.Radha,10:00-11:00,Yes
Pediatrician,Dr.Lakshman,11:00-12:00,No
Pediatrician,Dr.Iyer,12:00-01:00,Yes
Pediatrician,Dr.Nair,02:00-03:00,No
Pediatrician,Dr.Kumar,03:00-04:00,Yes
Neurologist,Dr.Rao,10:00-11:00,Yes
Neurologist,Dr.Pillai,11:00-12:00,No
Neurologist,Dr.Das,10:00-11:12,Yes
Neurologist,Dr.Bose,02:00-03:00,Yes
Neurologist,Dr.Banerjee,03:00-04:00,Yes
Orthopedic,Dr.Kapoor,10:00-11:00,No
Orthopedic,Dr.Khanna,11:00-12:00,Yes
Orthopedic,Dr.Arjun,12:00-01:00,Yes
Orthopedic,Dr.Raju,02:00-03:00,Yes
Orthopedic,Dr.Chawla,03:00-04:00,No
Dermatologist,Dr.Thanu,10:00-11:00,Yes
Dermatologist,Dr.Sandya,11:00-12:00,No
Dermatologist,Dr.Naina,12:00-01:00,Yes
Dermatologist,Dr.Meena,02:00-03:00,Yes
Dermatologist,Dr.Bhatia,03:00-04:00,Yes
ENT,Dr.Krishnan,10:00-11:00,Yes
ENT,Dr.Narayan,11:00-12:00,Yes
ENT,Dr.Subramanian,12:00-01:00,No
ENT,Dr.Shah,02:00-03:00,No
ENT,Dr.Pandya,03:00-04:00,Yes
Gynaecologist,Dr.Ramya,10:00-11:00,Yes
Gynaecologist,Dr.Rashi,11:00-12:00,No
Gynaecologist,Dr.Navya,12:00-01:00,Yes
Gynaecologist,Dr.Aruna,02:00-03:00,Yes
Gynaecologist,Dr.Shanthi,03:00-04:00,No
